Site,,Land Use,Average of ∑PFSA,Average of PFOS,Average of ∑PFCA,Average%PFCA/Total PFAAs
Halton  ,2021,Landfill,19.92,18.51,18.45,0.49
Halton  ,2022,Landfill,43.48,40.10,26.33,0.39
Hamilton,2009,Industrial,43.20,41.10,5.80,0.12
Hamilton,2010,Industrial,60.69,59.35,24.07,0.27
Hamilton,2011,Industrial,44.69,42.67,21.93,0.33
Hamilton,2012,Industrial,82.33,80.64,14.07,0.21
Hamilton,2014,Industrial,41.18,40.17,9.80,0.22
Hamilton,2016,Industrial,59.83,58.34,14.87,0.28
Hamilton,2018,Industrial,55.92,52.56,24.41,0.33
Hamilton,2020,Industrial,36.34,34.78,15.06,0.34
Hamilton,2021,Industrial,104.68,103.00,13.36,0.11
Hamilton,2022,Industrial,42.81,40.80,32.44,0.43
Lachenaie,2010,Landfill,43.64,43.17,20.97,0.33
Lachenaie,2011,Landfill,28.86,27.62,20.83,0.44
Lachenaie,2012,Landfill,17.96,16.59,15.21,0.46
Lachenaie,2014,Landfill,14.59,13.80,16.41,0.53
Lachenaie,2016,Landfill,9.33,8.85,10.15,0.61
Lachenaie,2018,Landfill,12.03,11.43,12.68,0.52
Lachenaie,2020,Landfill,12.91,12.09,10.38,0.50
Lachenaie,2022,Landfill,9.59,9.14,9.29,0.51
Langley,2009,Rural,7.04,5.70,1.08,0.13
Langley,2010,Rural,4.90,4.61,0.40,0.09
Langley,2011,Rural,7.61,7.33,2.83,0.27
Langley,2012,Rural,0.48,0.40,1.63,0.78
Langley,2014,Rural,4.13,3.94,3.35,0.44
Langley,2016,Rural,0.50,0.35,2.01,0.82
Langley,2018,Rural,4.75,4.56,3.22,0.41
Langley,2020,Rural,1.87,1.67,1.94,0.51
Langley,2021,Rural,3.92,3.70,3.13,0.48
Langley,2022,Rural,4.89,4.46,4.14,0.48
Lanoraie,2009,Rural,18.83,16.23,15.08,0.44
Lanoraie,2010,Rural,26.27,26.17,34.51,0.57
Lanoraie,2011,Rural,19.92,17.90,20.57,0.54
Lanoraie,2012,Rural,19.86,18.91,17.02,0.46
Lanoraie,2014,Rural,12.84,11.03,14.78,0.55
Lanoraie,2016,Rural,4.57,4.29,8.41,0.75
Lanoraie,2018,Rural,3.24,2.82,5.07,0.61
Lanoraie,2020,Rural,3.00,2.84,7.74,0.72
Lanoraie,2022,Rural,4.90,4.61,6.99,0.59
Otter Lake Waste ,2009,Landfill,22.02,19.44,49.86,0.70
Otter Lake Waste ,2010,Landfill,34.37,33.25,90.20,0.73
Otter Lake Waste ,2011,Landfill,86.46,82.99,351.66,0.78
Otter Lake Waste ,2012,Landfill,100.58,98.04,717.97,0.84
Otter Lake Waste ,2014,Landfill,23.33,21.57,56.34,0.71
Otter Lake Waste ,2016,Landfill,30.57,26.62,60.98,0.64
Otter Lake Waste ,2018,Landfill,9.72,8.78,64.94,0.86
Otter Lake Waste ,2021,Landfill,7.21,6.47,36.34,0.84
Otter Lake Waste ,2022,Landfill,3.31,2.99,21.52,0.87
Parc-Nature,2009,Industrial,16.00,12.87,13.08,0.45
Parc-Nature,2010,Industrial,20.65,19.80,14.06,0.41
Parc-Nature,2011,Industrial,16.35,14.29,35.12,0.63
Parc-Nature,2012,Industrial,22.07,20.63,28.55,0.56
Parc-Nature,2018,Industrial,18.90,17.75,27.14,0.59
Parc-Nature,2020,Industrial,21.87,19.20,33.71,0.61
Parc-Nature,2022,Industrial,18.80,17.80,13.51,0.42
Redcliff,2010,Rural,11.47,10.81,4.40,0.28
Redcliff,2011,Rural,14.95,14.45,6.99,0.33
Redcliff,2012,Rural,5.97,5.80,2.04,0.25
Redcliff,2014,Rural,10.23,10.06,8.55,0.45
Redcliff,2016,Rural,5.08,4.70,2.86,0.46
Redcliff,2018,Rural,5.08,4.72,5.83,0.57
Redcliff,2020,Rural,21.84,19.90,8.13,0.27
Redcliff,2021,Rural,1.41,1.24,1.87,0.66
Redcliff,2022,Rural,2.74,2.52,2.97,0.52
S. of Strathmore,2009,Rural,7.02,5.54,0.63,0.08
S. of Strathmore,2010,Rural,10.29,9.81,2.16,0.18
S. of Strathmore,2011,Rural,7.96,7.13,4.06,0.34
S. of Strathmore,2012,Rural,7.68,7.20,3.40,0.31
S. of Strathmore,2014,Rural,12.40,11.33,4.55,0.28
S. of Strathmore,2016,Rural,4.34,3.82,2.06,0.35
S. of Strathmore,2018,Rural,19.56,18.50,10.32,0.36
S. of Strathmore,2020,Rural,4.80,4.03,3.04,0.39
S. of Strathmore,2021,Rural,4.11,3.83,1.90,0.39
S. of Strathmore,2022,Rural,3.57,3.01,2.60,0.43
